id,name,category_id,sku,price,description,weight,dimensions,in_stock,reorder_level,supplier_id
1,Premium Ergonomic Office Chair,2,CHAIR-ERGO-001,210.82,"High-end ergonomic office chair with lumbar support, adjustable armrests, and breathable mesh back. Features 360-degree swivel, height adjustment, and tilt mechanism. Perfect for long work hours with premium cushioning and durable base.",12.5,65x70x110 cm,,8,10
2,Wireless Mechanical Keyboard,9,KB-MECH-WIRE-002,346.28,"Professional mechanical keyboard with wireless connectivity via Bluetooth 5.0. Features customizable RGB lighting, programmable keys, and hot-swap switches. Includes rechargeable battery with 40-hour battery life and aluminum frame.",0.85,45x15x3 cm,,15,9
3,4K Ultra HD Webcam,1,WEB-4K-USB-003,338.49,"Professional 4K webcam with auto-focus and wide-angle lens. Includes built-in stereo microphone with noise cancellation, USB 3.0 connection, and universal compatibility with major platforms. Ideal for streaming and video conferencing.",0.45,8x8x9 cm,,12,7
4,LED Desk Lamp with USB Charging,6,LAMP-LED-USB-004,261.41,"Modern LED desk lamp with adjustable brightness and color temperature. Features built-in USB charging port for phones and tablets, flexible gooseneck design, and memory function. Energy-efficient with 50,000-hour lifespan.",0.6,15x12x40 cm,,20,9
5,Portable SSD 1TB,4,SSD-PORT-1TB-005,367.54,"Ultra-fast portable solid-state drive with 1TB storage capacity. Offers read speeds up to 550MB/s, USB 3.1 Type-C connection, and rugged design with shock resistance. Compact size perfect for professionals on the move.",0.18,11x8x1.5 cm,,10,8
6,Noise-Cancelling Wireless Headphones,3,HEAD-NC-WIRE-006,498.05,"Premium wireless headphones with active noise cancellation technology. Features 30-hour battery life, Bluetooth 5.0, touch controls, and premium sound quality. Includes carrying case and 3.5mm audio cable for wired connection.",0.25,20x18x8 cm,,12,7
7,Wireless Mouse with Precision Tracking,8,MOUSE-WIRE-PREC-007,141.39,"Ergonomic wireless mouse with precision optical tracking and adjustable DPI settings. Features 2.4GHz wireless connection, 18-month battery life, and silent click technology. Compatible with Windows, Mac, and Linux systems.",0.1,12x7x4 cm,,25,9
8,Dual Monitor Stand Arm,8,STAND-DUAL-ARM-008,414.5,"Professional dual monitor mounting arm with full articulation. Supports monitors up to 27 inches and 10kg each. Features VESA compatibility, cable management, and smooth height/tilt adjustment for ergonomic positioning.",3.2,55x25x15 cm,,6,7
9,USB-C Docking Station,2,DOCK-USB-C-009,278.04,"Comprehensive USB-C docking station with 7 ports including HDMI, USB 3.0, and SD card reader. Provides up to 100W power delivery for charging laptops. Aluminum construction and plug-and-play setup with universal compatibility.",0.35,18x10x3 cm,,14,9
10,Mechanical Keyboard Switch Tester,8,KB-SWITCH-TEST-010,197.51,Switch tester kit containing 12 different mechanical keyboard switches. Allows users to experience various switch types before purchasing a full keyboard. Includes detailed comparison guide and mounting plate.,0.15,10x8x2 cm,,18,7
11,Vertical Laptop Stand,7,STAND-VERT-LAP-011,241.06,Sleek vertical laptop stand made from aluminum alloy. Supports laptops up to 17 inches and improves desk space utilization. Features non-slip pads and adjustable angle for optimal viewing. Minimalist design suitable for any workspace.,0.8,25x20x15 cm,,16,9
12,RGB Gaming Mouse Pad,10,PAD-RGB-GAME-012,420.97,"Large RGB gaming mouse pad with 15 lighting modes and wireless charging capability. Features non-slip rubber base, premium cloth surface, and USB power connection. Size: 80x30cm, perfect for mouse and keyboard.",0.55,80x30x0.8 cm,,11,10
