id,name,category,price,description,in_stock
1,Wireless Bluetooth Headphones,Sports,79.99,"Premium wireless headphones with active noise cancellation, 30-hour battery life, and superior sound quality. Perfect for music lovers and professionals.",
2,Cotton T-Shirt,Home & Kitchen,24.99,"Comfortable 100% organic cotton t-shirt available in multiple colors. Breathable, durable, and perfect for everyday wear.",
3,Stainless Steel Coffee Maker,Clothing,149.99,"Programmable coffee maker with thermal carafe, brews up to 12 cups, and features a built-in grinder for fresh coffee every morning.",
4,The Great Gatsby Novel,Beauty,12.99,"Classic American literature by F. Scott Fitzgerald. A timeless tale of love, ambition, and the Jazz Age. Paperback edition.",
5,Yoga Mat with Carrying Strap,Home & Kitchen,34.99,"Non-slip, eco-friendly yoga mat made from natural rubber. Includes carrying strap for easy transport to the gym or studio.",
6,USB-C Fast Charging Cable,Beauty,15.99,"High-speed USB-C charging and data transfer cable, 6 feet long, compatible with most modern devices. Durable nylon braiding.",
7,Winter Wool Scarf,Home & Kitchen,44.99,"Luxurious 100% merino wool scarf, hand-woven in Scotland. Provides warmth without weight, perfect for cold weather.",
8,Bamboo Cutting Board Set,Books,39.99,Set of 3 sustainable bamboo cutting boards in various sizes. Naturally antimicrobial and safe for food preparation.,
9,Python Programming Guide,Toys,49.99,Comprehensive guide to Python programming for beginners and intermediate developers. Includes practical examples and exercises.,
10,Adjustable Dumbbells,Beauty,199.99,Space-saving adjustable dumbbells with weights from 5 to 50 lbs. Perfect for home gym workouts and strength training.,
11,4K Webcam,Electronics,129.99,"Professional 4K Ultra HD webcam with auto-focus, built-in microphone, and wide-angle lens. Ideal for streaming and video conferencing.",
12,Leather Crossbody Bag,Home & Kitchen,89.99,Genuine Italian leather crossbody bag with adjustable strap and multiple compartments. Stylish and functional for daily use.,
13,Smart LED Light Bulbs,Home & Kitchen,59.99,Set of 4 WiFi-enabled RGB LED bulbs compatible with smart home systems. Control brightness and color from your smartphone.,
14,Mindfulness and Meditation Workbook,Books,18.99,Practical workbook with guided exercises and daily practices for stress relief and mental well-being. Includes meditation techniques.,
15,Portable Folding Bike,Toys,299.99,Lightweight aluminum folding bicycle perfect for commuting and travel. Compact design fits in car trunks and apartments.,
