product_id,product_name,category,brand,unit_price,stock_qty,description
1,Wireless Noise-Cancelling Headphones,Electronics,Apple,63.25,3576,"This wireless noise-cancelling headphone delivers premium sound quality with 30-hour battery life, perfect for long commutes and travel."
2,Organic Fair-Trade Coffee Beans,Books,Samsung,19.4,2417,"Organic cotton t-shirt featuring a minimalist design, available in multiple colors and sizes for everyday casual wear."
3,Slim-Fit Denim Jeans,Clothing,Nike,261.55,4913,"Stainless steel water bottle with vacuum insulation keeps drinks cold for 24 hours or hot for 12 hours, ideal for outdoor adventures."
4,Stainless Steel Kitchen Knife Set,Electronics,Adidas,12.39,2006,"Smart LED light bulb compatible with voice assistants, offering 16 million color options and energy-efficient performance."
5,Rechargeable LED Desk Lamp,Sports,Sony,487.39,1579,"Leather wallet with RFID blocking technology, multiple card slots, and a slim profile for men and women."
6,Waterproof Hiking Boots,Clothing,Dell,303.93,270,"Ceramic coffee mug set of four, microwave and dishwasher safe, featuring elegant patterns for kitchen or office use."
7,Natural Bamboo Cutting Board,Clothing,IKEA,455.96,2425,"Yoga mat made from eco-friendly materials, non-slip surface with alignment lines, includes carrying strap."
8,Scented Soy Candle,Sports,Toyota,388.04,2734,"Bluetooth portable speaker with waterproof design, 360-degree sound, and built-in microphone for hands-free calls."
9,High-Speed USB-C Charger,Clothing,BMW,358.94,2879,"Denim jeans with stretch fabric for comfort, classic fit, available in various washes and sizes."
10,Cotton Crew Neck Sweater,Home & Kitchen,Levi's,194.52,1032,"Facial serum with vitamin C and hyaluronic acid, suitable for all skin types, 30ml bottle for daily skincare routine."
11,Ceramic Coffee Mug Set,Electronics,Zara,348.88,3902,"Kitchen knife set including chef's knife, paring knife, and bread knife, forged from high-carbon stainless steel."
12,Portable Bluetooth Speaker,Home & Kitchen,H&M,264.83,4950,"Running shoes with cushioned sole and breathable mesh upper, designed for long-distance training and marathons."
13,Anti-Aging Facial Serum,Books,Dyson,446.84,4544,"Desk organizer with multiple compartments for pens, papers, and accessories, made from sustainable bamboo."
14,Ergonomic Office Chair,Books,Philips,64.52,3911,"Sunscreen lotion SPF 50, water-resistant formula with broad-spectrum protection, non-greasy finish."
15,Yoga Mat with Alignment Lines,Home & Kitchen,Canon,230.55,4974,"Electric kettle with rapid boil technology, 1.7-liter capacity, auto shut-off feature for safety."
16,Cast Iron Dutch Oven,Books,Nikon,51.21,151,"Wool blend sweater, soft and warm, perfect for layering during fall and winter seasons."
17,Wireless Gaming Mouse,Clothing,Bose,176.23,4301,"Phone case with built-in card holder and kickstand, shockproof protection for latest smartphone models."
18,Genuine Leather Bifold Wallet,Home & Kitchen,JBL,269.29,2418,"Herbal tea variety pack with 20 individually wrapped bags, including chamomile, peppermint, and green tea."
19,Electric Toothbrush with Timer,Books,Under Armour,456.79,3956,"Backpack with laptop compartment, water-resistant material, multiple pockets for travel or daily commute."
20,Silk Pillowcase for Hair,Books,Puma,30.04,2954,"Moisturizing hand cream enriched with shea butter and aloe vera, absorbs quickly without residue."
21,Lightweight Running Shoes,Electronics,Gucci,129.0,3786,"Adjustable dumbbell set from 5 to 25 pounds, compact design for home gym workouts."
22,Vitamin D3 Supplements Bottle,Books,Prada,178.19,2851,"Silk pillowcase set of two, helps reduce hair frizz and skin wrinkles, available in queen and king sizes."
23,Waterproof Laptop Backpack,Electronics,L'Oreal,212.63,3352,"Cookware set including frying pan, saucepan, and stockpot with non-stick coating and tempered glass lids."
24,Smart Fitness Watch Tracker,Home & Kitchen,Maybelline,220.37,3049,"Wireless mouse with ergonomic design, long battery life, compatible with Windows and Mac operating systems."
25,Non-Stick Ceramic Frying Pan,Clothing,Lego,83.87,3486,"Scented candle made from soy wax, 8-ounce jar with 40-hour burn time, various fragrance options."
26,Hypoallergenic Baby Diapers,Electronics,Mattel,395.42,2874,"Cotton bedsheet set with deep pockets, includes flat sheet, fitted sheet, and two pillowcases."
27,Leather-Bound Hardcover Notebook,Electronics,Hasbro,50.64,4101,"Portable external hard drive with 2TB storage, USB 3.0 connectivity, compact and durable design."
28,Ultrasonic Essential Oil Diffuser,Home & Kitchen,Ford,83.27,2972,"Face mask pack of 10, hydrating sheet masks with natural ingredients for weekly skincare treatment."
29,Polarized Aviator Sunglasses,Clothing,Honda,364.24,2474,"Stainless steel cookware frying pan, oven-safe up to 500 degrees, suitable for all stovetops including induction."
30,Memory Foam Cervical Pillow,Sports,Mercedes-Benz,424.23,2072,"Athletic shorts with moisture-wicking fabric, built-in liner, available in men's and women's sizes."
31,Digital Precision Kitchen Scale,Clothing,KitchenAid,233.13,3100,"This wireless noise-cancelling headphone delivers premium sound quality with 30-hour battery life, perfect for long commutes and travel."
32,Ceramic Hair Straightening Iron,Books,Cuisinart,108.69,2380,"Organic cotton t-shirt featuring a minimalist design, available in multiple colors and sizes for everyday casual wear."
33,Strategy Board Game Set,Clothing,LG,327.47,859,"Stainless steel water bottle with vacuum insulation keeps drinks cold for 24 hours or hot for 12 hours, ideal for outdoor adventures."
34,Plant-Based Whey Protein Powder,Electronics,Panasonic,87.73,102,"Smart LED light bulb compatible with voice assistants, offering 16 million color options and energy-efficient performance."
35,Cordless Electric Kettle,Home & Kitchen,HP,147.6,628,"Leather wallet with RFID blocking technology, multiple card slots, and a slim profile for men and women."
36,Merino Wool Crew Socks Pack,Clothing,Lenovo,346.6,713,"Ceramic coffee mug set of four, microwave and dishwasher safe, featuring elegant patterns for kitchen or office use."
37,Professional Makeup Brush Set,Home & Kitchen,Microsoft,306.53,1429,"Yoga mat made from eco-friendly materials, non-slip surface with alignment lines, includes carrying strap."
38,Magnetic Car Phone Mount,Sports,Google,110.63,587,"Bluetooth portable speaker with waterproof design, 360-degree sound, and built-in microphone for hands-free calls."
39,Resistance Bands Fitness Kit,Clothing,Amazon,403.21,2982,"Denim jeans with stretch fabric for comfort, classic fit, available in various washes and sizes."
40,Acacia Wood Salad Serving Bowl,Clothing,Calvin Klein,398.05,1439,"Facial serum with vitamin C and hyaluronic acid, suitable for all skin types, 30ml bottle for daily skincare routine."
41,Warm White LED String Lights,Clothing,Tommy Hilfiger,235.47,4049,"Kitchen knife set including chef's knife, paring knife, and bread knife, forged from high-carbon stainless steel."
42,Hydrating Sheet Face Mask Pack,Books,Ralph Lauren,359.68,3596,"Running shoes with cushioned sole and breathable mesh upper, designed for long-distance training and marathons."
43,4K Camera Drone Quadcopter,Sports,Estee Lauder,12.59,1188,"Desk organizer with multiple compartments for pens, papers, and accessories, made from sustainable bamboo."
44,Egyptian Cotton Bath Towel Set,Sports,MAC Cosmetics,258.71,2368,"Sunscreen lotion SPF 50, water-resistant formula with broad-spectrum protection, non-greasy finish."
45,Burr Coffee Bean Grinder,Home & Kitchen,Wilson,243.84,1294,"Electric kettle with rapid boil technology, 1.7-liter capacity, auto shut-off feature for safety."
46,High-Waist Athletic Leggings,Books,Titleist,234.29,3521,"Wool blend sweater, soft and warm, perfect for layering during fall and winter seasons."
47,True Wireless Stereo Earbuds,Home & Kitchen,Spalding,265.61,1959,"Phone case with built-in card holder and kickstand, shockproof protection for latest smartphone models."
48,Wooden Picture Frame Collection,Electronics,Ray-Ban,117.88,2907,"Herbal tea variety pack with 20 individually wrapped bags, including chamomile, peppermint, and green tea."
49,Shea Butter Hand Cream,Home & Kitchen,Oakley,40.98,2694,"Backpack with laptop compartment, water-resistant material, multiple pockets for travel or daily commute."
50,Robotic Vacuum Cleaner,Electronics,Swarovski,326.98,76,"Moisturizing hand cream enriched with shea butter and aloe vera, absorbs quickly without residue."
