id,name,category_id,sku,description,price,cost,stock_quantity,weight,dimensions,is_featured,date_added,last_updated
1,Ultra Comfort Memory Foam Mattress,1,PA-12345,"Experience ultimate comfort with our Ultra Comfort Memory Foam Mattress. Designed to provide superior support and pressure relief, this mattress adapts to your body's unique contours. Made with high-density memory foam and cooling gel technology, it ensures a cool and restful night's sleep. Perfect for those seeking relief from back pain and improved sleep quality.",799.99,350.5,45,45.25,200x180x30,,2023-05-15,2023-06-20
2,Smart WiFi Robot Vacuum Cleaner,3,PB-67890,"Revolutionize your home cleaning with our Smart WiFi Robot Vacuum Cleaner. Featuring advanced navigation technology, app control, and powerful suction, this vacuum effortlessly cleans all floor types. Equipped with smart mapping, scheduling, and voice assistant compatibility, it provides a hands-free cleaning experience. Ideal for busy professionals and tech-savvy homeowners.",299.5,125.75,78,3.2,35x35x10,,2023-04-10,2023-06-15
3,Professional Stainless Steel Blender,3,PC-54321,"Unleash your culinary creativity with our Professional Stainless Steel Blender. Featuring a powerful 1200W motor, variable speed control, and razor-sharp blades, this blender can handle everything from smoothies to tough ingredients. The durable stainless steel construction and large 64oz capacity make it perfect for home chefs and health enthusiasts.",199.99,85.25,62,5.5,25x20x40,,2023-03-05,2023-05-25
4,4K Ultra HD Smart Television,4,PD-98765,"Immerse yourself in stunning visual clarity with our 4K Ultra HD Smart Television. Featuring HDR technology, wide color gamut, and built-in streaming capabilities, this TV delivers an exceptional viewing experience. With multiple HDMI ports, voice control, and sleek design, it's the perfect centerpiece for your living room entertainment setup.",1299.0,575.5,30,22.75,140x80x10,,2023-02-18,2023-06-10
5,Wireless Noise-Canceling Headphones,1,PE-24680,"Escape into pure sound with our Wireless Noise-Canceling Headphones. Featuring advanced noise-cancellation technology, crystal-clear audio, and comfortable over-ear design, these headphones provide an immersive listening experience. With long battery life, quick charging, and Bluetooth 5.0 connectivity, they're perfect for music lovers and professionals.",249.99,110.25,95,0.32,20x18x8,,2023-01-22,2023-05-30
6,Portable Solar Power Generator,2,PF-13579,"Stay powered up anywhere with our Portable Solar Power Generator. Featuring high-capacity lithium batteries, multiple charging ports, and efficient solar panels, this generator is perfect for camping, emergencies, and off-grid adventures. Lightweight, durable, and eco-friendly, it provides reliable power when you need it most.",599.5,275.75,40,12.6,50x30x25,,2023-04-05,2023-06-05
7,Smart Home Security Camera System,4,PG-86420,"Protect your home with our Smart Home Security Camera System. Featuring 4K resolution, night vision, two-way audio, and cloud storage, these cameras provide comprehensive security monitoring. Easy to install, weather-resistant, and compatible with smart home platforms, they offer peace of mind and real-time alerts.",349.99,155.5,55,2.75,15x10x15,,2023-03-15,2023-05-20
8,Electric Standing Desk,5,PH-97531,"Elevate your workspace with our Electric Standing Desk. Featuring smooth height adjustment, programmable memory settings, and sturdy construction, this desk promotes better posture and productivity. Compatible with various desktop sizes and ergonomic accessories, it's perfect for home offices and professional environments.",599.0,265.25,35,65.5,160x80x120,,2023-02-10,2023-06-15
9,Premium Espresso Machine,5,PI-24680,"Transform your coffee experience with our Premium Espresso Machine. Featuring professional-grade components, precise temperature control, and programmable settings, this machine delivers cafe-quality espresso at home. With a built-in grinder, milk frother, and sleek design, it's a must-have for coffee enthusiasts.",799.5,355.75,25,15.25,40x30x50,,2023-01-15,2023-05-10
10,Fitness Tracking Smart Watch,5,PJ-13579,"Achieve your fitness goals with our Fitness Tracking Smart Watch. Featuring heart rate monitoring, GPS tracking, sleep analysis, and multiple sport modes, this watch provides comprehensive health insights. With a vibrant touchscreen, long battery life, and water resistance, it's the perfect companion for active lifestyles.",199.99,85.5,80,0.08,5x4x1,,2023-04-20,2023-06-01
11,Compact Air Purifier,1,PK-86420,"Breathe cleaner air with our Compact Air Purifier. Featuring a multi-stage filtration system, including HEPA and activated carbon filters, this purifier removes allergens, dust, and odors. Quiet operation, low energy consumption, and sleek design make it perfect for bedrooms, offices, and small spaces.",149.5,65.25,65,4.75,30x20x40,,2023-03-01,2023-05-15
12,Smart Indoor Herb Garden,2,PL-97531,"Grow fresh herbs year-round with our Smart Indoor Herb Garden. Featuring LED grow lights, automated watering, and app-controlled settings, this garden makes home gardening effortless. Compact design, multiple seed pod options, and nutrient-rich growing medium ensure healthy, delicious herbs at your fingertips.",179.99,75.5,50,6.2,45x30x60,,2023-02-05,2023-06-10
13,Wireless Charging Pad,1,PM-24680,"Simplify device charging with our Wireless Charging Pad. Compatible with multiple devices, featuring fast charging technology, and sleek design, this pad provides convenient power for smartphones, earbuds, and other Qi-enabled devices. Non-slip surface and LED indicators ensure easy and safe charging.",59.99,25.75,120,0.2,10x10x1,,2023-01-10,2023-05-05
14,Professional Hair Dryer,3,PN-13579,"Achieve salon-quality results with our Professional Hair Dryer. Featuring multiple heat and speed settings, ionic technology, and lightweight design, this dryer reduces frizz and promotes healthy hair. Cool shot button, long cord, and ergonomic handle make styling effortless and comfortable.",129.5,55.25,75,0.75,25x15x10,,2023-04-15,2023-06-05
15,Smart Robotic Lawn Mower,3,PO-86420,"Maintain a perfect lawn effortlessly with our Smart Robotic Lawn Mower. GPS-guided navigation, app control, and scheduling features ensure precise and efficient mowing. Weather-resistant design, multiple cutting heights, and automatic charging make lawn maintenance a breeze.",1499.0,675.5,20,18.5,70x50x30,,2023-03-10,2023-05-25
16,Compact Portable Projector,4,PP-97531,"Transform any space into a home theater with our Compact Portable Projector. Featuring 1080p resolution, built-in speakers, and multiple connectivity options, this projector delivers impressive visual experiences. Lightweight, battery-powered, and compatible with streaming devices, it's perfect for entertainment and presentations.",299.99,125.75,45,0.5,20x15x8,,2023-02-20,2023-06-15
17,Smart Kitchen Scale,1,PQ-24680,"Elevate your cooking precision with our Smart Kitchen Scale. Featuring high-accuracy sensors, app connectivity, and multiple unit conversions, this scale helps you achieve perfect recipe measurements. Sleek design, touch controls, and easy cleaning make it a must-have for home chefs.",79.5,35.25,90,0.6,20x15x2,,2023-01-25,2023-05-15
18,Noise-Reducing Gaming Headset,3,PR-13579,"Immerse yourself in gaming audio with our Noise-Reducing Gaming Headset. Featuring high-definition sound, surround sound capabilities, and noise-canceling microphone, this headset provides an exceptional gaming experience. Comfortable ear cups, durable construction, and multi-platform compatibility make it a top choice for gamers.",179.99,75.5,60,0.35,20x18x10,,2023-04-01,2023-06-01
19,Smart Water Bottle,1,PS-86420,"Stay hydrated and track your water intake with our Smart Water Bottle. Featuring hydration tracking, temperature monitoring, and app connectivity, this bottle helps you maintain optimal hydration. LED reminders, leak-proof design, and multiple size options make it perfect for active lifestyles.",49.99,20.75,100,0.4,25x8x8,,2023-03-20,2023-05-10
