product_id,product_name,category,brand,unit_price,stock_qty,description
1,Wireless Bluetooth Headphones,Electronics,SoundMax,79.99,45,High-quality wireless headphones with active noise cancellation and 30-hour battery life
2,Cotton T-Shirt,Clothing,BasicWear,19.99,120,"100% organic cotton t-shirt, comfortable and durable for everyday wear"
3,Stainless Steel Kitchen Knife Set,Home Goods,CutMaster,89.5,28,6-piece professional kitchen knife set with ergonomic handles and storage block
4,Running Shoes,Sports Equipment,SprintPro,129.99,67,Lightweight cushioned running shoes with breathable mesh upper for maximum comfort
5,USB-C Charging Cable,Electronics,PowerLink,12.99,200,"Fast charging USB-C cable, 6ft length, compatible with all USB-C devices"
6,Winter Parka Jacket,Clothing,FrostGear,199.99,35,Insulated winter jacket with waterproof outer shell and thermal lining
7,LED Desk Lamp,Home Goods,BrightLight,45.0,52,Adjustable LED desk lamp with USB charging port and 5 brightness levels
8,Yoga Mat,Sports Equipment,FlexFit,34.99,89,"Non-slip yoga mat with carrying strap, 6mm thickness for optimal cushioning"
9,4K Webcam,Electronics,ClarityView,149.99,23,Ultra HD 4K webcam with built-in microphone and auto-focus technology
10,Denim Jeans,Clothing,DenimPro,59.99,98,Classic blue denim jeans with comfortable fit and durable stitching
11,Bamboo Cutting Board Set,Home Goods,EcoChef,28.5,76,Set of 3 eco-friendly bamboo cutting boards in different sizes
12,Basketball,Sports Equipment,ProBall,39.99,55,Official size basketball with superior grip and durability for indoor and outdoor play
13,Portable SSD 1TB,Electronics,StorageMax,119.99,41,"Fast portable SSD with 1TB storage, USB 3.1 connectivity for quick data transfers"
14,Casual Sneakers,Clothing,StepStyle,74.99,112,Comfortable casual sneakers with memory foam insoles and breathable canvas material
15,Coffee Maker,Home Goods,BrewMaster,85.0,38,12-cup programmable coffee maker with thermal carafe and auto-shutoff feature
16,Dumbbells Set,Sports Equipment,IronGain,149.5,29,"20-piece adjustable dumbbell set with storage rack, 5-25 lbs per hand"
17,Smartphone Screen Protector,Electronics,GuardGlass,9.99,340,Tempered glass screen protector with 9H hardness and oleophobic coating
18,Wool Sweater,Clothing,CozyKnit,89.99,64,"Premium merino wool sweater, soft and warm, perfect for cold weather"
19,Microfiber Bed Sheet Set,Home Goods,SoftDream,49.99,87,Queen-size bed sheet set with deep pockets and hypoallergenic microfiber
20,Resistance Bands Set,Sports Equipment,FlexBand,24.99,103,5-piece resistance band set with different resistance levels for full-body workouts
21,Wireless Mouse,Electronics,PrecisionClick,34.99,156,Ergonomic wireless mouse with precision tracking and 18-month battery life
22,Linen Dress,Clothing,SummerEase,79.99,44,"Light and breathable linen dress, perfect for warm weather and casual occasions"
23,Non-Stick Cookware Set,Home Goods,ChefChoice,129.99,33,10-piece non-stick cookware set with tempered glass lids and heat-resistant handles
24,Swimming Goggles,Sports Equipment,AquaVision,29.99,78,Anti-fog swimming goggles with UV protection and adjustable straps
25,Mechanical Keyboard,Electronics,KeyMaster,139.99,37,RGB mechanical keyboard with Cherry MX switches and programmable keys
26,Cargo Pants,Clothing,TacticalWear,69.99,71,Durable cargo pants with multiple pockets and comfortable fit for everyday use
