id,name,description,parent_id
1,Electronics,"Comprehensive collection of electronic devices and gadgets including computers, smartphones, tablets, and accessories. This category encompasses all consumer electronics and tech products designed for personal and professional use.",0
2,Computers & Laptops,"Desktop computers, laptops, and portable computing devices. Includes desktops for gaming and work, ultrabooks, 2-in-1 convertibles, and chromebooks suitable for various computing needs and budgets.",1
3,Mobile Devices,"Smartphones and mobile phones from leading manufacturers. Features the latest models with advanced processors, high-resolution displays, and cutting-edge camera technology for photography and videography.",1
4,Home & Garden,"Products for home improvement, decoration, and garden maintenance. Includes furniture, bedding, kitchen appliances, gardening tools, outdoor equipment, and decorative items to enhance living spaces.",0
5,Kitchen Appliances,"Small and large kitchen appliances for food preparation and cooking. Includes microwaves, blenders, coffee makers, ovens, refrigerators, dishwashers, and other essential kitchen equipment.",4
6,Furniture,"Indoor and outdoor furniture including sofas, chairs, tables, beds, cabinets, and storage solutions. Offers various styles from modern to traditional to suit different interior design preferences.",4
7,Clothing & Accessories,"Fashion apparel and accessories for men, women, and children. Includes clothing, footwear, bags, belts, hats, scarves, and jewelry for casual wear, formal occasions, and athletic activities.",0
8,Men's Clothing,"Apparel specifically designed for men including shirts, pants, jackets, suits, and underwear. Features both casual and formal wear from various brands and price points.",7
9,Women's Clothing,"Fashion apparel for women including dresses, blouses, pants, skirts, jackets, and activewear. Offers diverse styles, sizes, and colors to match different tastes and occasions.",7
10,Sports & Outdoors,"Equipment and gear for sports, fitness, and outdoor activities. Includes exercise equipment, athletic wear, camping gear, hiking equipment, bicycles, and sports balls for various recreational pursuits.",0
11,Books & Media,"Physical and digital books, audiobooks, magazines, DVDs, and streaming content. Covers fiction, non-fiction, educational materials, entertainment, and reference materials for all ages and interests.",0
12,Health & Beauty,"Personal care products, cosmetics, skincare, haircare, and wellness items. Includes vitamins, supplements, grooming tools, fragrances, and beauty products for daily personal care and maintenance.",0
