product_id,product_name,category,brand,unit_price,stock_qty,description
1,Wireless Bluetooth Headphones,Electronics,Sony,129.99,250,Noise-cancelling over-ear headphones with 30-hour battery life.
2,Classic Denim Jeans,Clothing,Levi's,59.99,1200,Slim-fit jeans made from premium stretch denim.
3,Stainless Steel Blender,Home & Kitchen,KitchenAid,89.5,300,Powerful 5-speed blender perfect for smoothies and soups.
4,Yoga Mat with Alignment Lines,Sports,Gaiam,24.99,800,Non-slip eco-friendly mat for yoga and pilates.
5,The Great Gatsby,Books,Penguin Classics,12.99,1500,A classic novel exploring the American Dream in the 1920s.
6,"4K Ultra HD Smart TV 55""",Electronics,Samsung,449.99,75,Smart TV with HDR and built-in streaming apps.
7,Cotton Crew Neck T-Shirt,Clothing,Hanes,9.99,3500,Soft and breathable everyday t-shirt in multiple colors.
8,Ceramic Coffee Mug Set,Home & Kitchen,Corelle,19.99,600,Set of 6 durable ceramic mugs for daily use.
9,Adjustable Dumbbell Set,Sports,Bowflex,299.99,45,Space-saving dumbbells adjustable from 5 to 52.5 lbs.
10,Python Programming Guide,Books,O'Reilly,39.99,420,Comprehensive guide to Python for beginners and pros.
11,Portable Bluetooth Speaker,Electronics,JBL,79.99,180,Waterproof speaker with 12-hour playtime.
12,Waterproof Rain Jacket,Clothing,Columbia,89.99,320,Lightweight jacket with breathable mesh lining.
13,Non-Stick Frying Pan,Home & Kitchen,Tefal,34.5,950,10-inch pan with titanium reinforced coating.
14,Basketball Size 7,Sports,Spalding,29.99,1100,Official size and weight indoor/outdoor basketball.
15,Sapiens: A Brief History of Humankind,Books,Harper,18.99,780,Explores the history and impact of humankind.
16,Wireless Gaming Mouse,Electronics,Logitech,49.99,400,High-precision mouse with customizable RGB lighting.
17,Running Shoes,Clothing,Nike,119.99,650,Lightweight shoes designed for long-distance running.
18,Electric Kettle 1.7L,Home & Kitchen,Breville,45.0,275,Fast boil kettle with auto shut-off feature.
19,Tennis Racket,Sports,Wilson,149.99,90,Professional grade racket with vibration dampening.
20,Atomic Habits,Books,Penguin,16.99,920,Practical strategies for building good habits.
21,Laptop Sleeve 15 Inch,Electronics,Belkin,24.99,500,Protective neoprene sleeve for laptops.
22,Wool Scarf,Clothing,Burberry,175.0,150,Luxury cashmere blend scarf for winter.
23,Stand Mixer,Home & Kitchen,KitchenAid,349.99,60,Iconic 5-quart mixer with multiple attachments.
24,Camping Tent 4-Person,Sports,Coleman,129.99,85,Waterproof dome tent easy to set up.
25,Dune,Books,Ace,14.99,630,Epic science fiction novel set on the desert planet Arrakis.
26,Smart Watch Series 8,Electronics,Apple,399.0,200,Advanced fitness tracking and health monitoring watch.
27,Hooded Sweatshirt,Clothing,Adidas,54.99,480,Comfortable fleece hoodie for casual wear.
28,Vacuum Cleaner Robot,Home & Kitchen,iRobot,249.99,110,Self-charging robot vacuum with smart mapping.
29,Soccer Ball,Sports,Adidas,22.5,1400,Durable match ball for professional play.
30,1984,Books,Signet Classics,9.99,1050,Dystopian novel about totalitarianism and surveillance.
31,Digital Camera Mirrorless,Electronics,Canon,499.99,55,High-resolution camera with interchangeable lenses.
32,Leather Belt,Clothing,Tommy Hilfiger,39.99,720,Genuine leather belt with classic buckle.
33,Air Purifier,Home & Kitchen,Dyson,299.99,95,HEPA filter purifier for allergen removal.
34,Hiking Backpack 40L,Sports,Osprey,129.99,160,Ergonomic pack with hydration compatibility.
35,The Hobbit,Books,Houghton Mifflin,13.5,880,Fantasy adventure following Bilbo Baggins.
36,Noise Cancelling Earbuds,Electronics,Bose,179.99,220,True wireless earbuds with superior sound quality.
37,Winter Coat,Clothing,Patagonia,229.99,130,Insulated parka for extreme cold weather.
38,Toaster Oven,Home & Kitchen,Cuisinart,69.99,340,Compact oven with multiple cooking functions.
39,Resistance Bands Set,Sports,Fit Simplify,15.99,2000,Set of 5 bands for strength training and rehab.
40,Becoming,Books,Crown,22.99,510,Memoir by Michelle Obama detailing her life journey.
41,Tablet 10.5 Inch,Electronics,Samsung,329.99,140,High-resolution display tablet for media and work.
42,Polo Shirt,Clothing,Lacoste,69.99,390,Classic cotton polo with embroidered logo.
43,Slow Cooker 6Qt,Home & Kitchen,Crock-Pot,49.99,410,Programmable slow cooker for easy meals.
44,Jump Rope,Sports,Rogue,18.5,950,Adjustable speed rope for cardio workouts.
45,The Alchemist,Books,HarperOne,11.99,1250,Inspirational tale about following one's dreams.
46,External SSD 1TB,Electronics,SanDisk,109.99,280,Portable high-speed solid state drive.
47,Sneakers,Clothing,New Balance,84.99,560,Comfortable everyday sneakers with cushioned sole.
48,Bed Sheet Set Queen,Home & Kitchen,Brooklinen,79.99,195,Luxury cotton sheets with deep pockets.
49,Foam Roller,Sports,TriggerPoint,34.99,670,High-density roller for muscle recovery.
50,Educated,Books,Random House,17.99,740,Memoir about the power of education and self-invention.
51,Wireless Bluetooth Headphones,Electronics,Sony,89.99,250,Premium noise-cancelling headphones with 30-hour battery life and comfortable over-ear design.
52,4K Ultra HD Smart TV,Electronics,Samsung,499.99,45,55-inch smart TV with vibrant 4K resolution and built-in streaming apps.
53,Portable Laptop Charger,Electronics,Anker,29.99,1200,20000mAh power bank supporting fast charging for multiple devices.
54,Mechanical Gaming Keyboard,Electronics,Corsair,79.99,320,RGB backlit keyboard with tactile switches for competitive gaming.
55,Smart Fitness Watch,Electronics,Fitbit,149.99,180,"Track heart rate, steps, and sleep with GPS and water resistance."
56,Wireless Mouse,Electronics,Logitech,24.99,950,Ergonomic wireless mouse with long battery life and precise tracking.
57,Noise Cancelling Earbuds,Electronics,Apple,199.99,75,True wireless earbuds with active noise cancellation and spatial audio.
58,Tablet with Stylus,Electronics,Microsoft,349.99,60,10.5-inch tablet ideal for note-taking and media consumption.
59,Digital Camera,Electronics,Canon,449.99,30,Mirrorless camera with 24MP sensor and 4K video recording.
60,Smart Home Speaker,Electronics,Amazon,49.99,500,Voice-controlled speaker with premium sound and Alexa integration.
61,Cotton Crew Neck T-Shirt,Clothing,Hanes,12.99,1500,Soft breathable cotton tee available in multiple colors and sizes.
62,Slim Fit Jeans,Clothing,Levi's,59.99,400,Classic denim jeans with stretch fabric for all-day comfort.
63,Winter Parka Jacket,Clothing,North Face,199.99,85,Waterproof insulated jacket perfect for cold weather adventures.
64,Running Sneakers,Clothing,Nike,89.99,320,Lightweight breathable shoes with responsive cushioning.
65,Wool Sweater,Clothing,Gap,45.99,210,Cozy knit sweater made from premium merino wool.
66,Yoga Pants,Clothing,Lululemon,68.99,275,High-waisted leggings with four-way stretch and moisture wicking.
67,Formal Dress Shirt,Clothing,Ralph Lauren,79.99,150,Crisp button-down shirt crafted from premium cotton.
68,Baseball Cap,Clothing,Adidas,22.99,800,Adjustable cotton cap with embroidered logo for casual wear.
69,Leather Belt,Clothing,Tommy Hilfiger,34.99,420,Genuine leather belt with polished metal buckle.
70,Hooded Sweatshirt,Clothing,Champion,39.99,380,Fleece-lined hoodie with kangaroo pocket and ribbed cuffs.
71,Stainless Steel Cookware Set,Home & Kitchen,All-Clad,299.99,65,10-piece tri-ply stainless steel pots and pans for professional cooking.
72,Memory Foam Mattress Topper,Home & Kitchen,Tempur-Pedic,149.99,110,3-inch gel-infused topper for enhanced comfort and pressure relief.
73,Ceramic Coffee Mug Set,Home & Kitchen,Corelle,19.99,650,Set of 6 durable stoneware mugs in assorted modern designs.
74,Robot Vacuum Cleaner,Home & Kitchen,Roomba,279.99,95,Smart robotic vacuum with app control and self-emptying bin.
75,Bamboo Cutting Board Set,Home & Kitchen,John Boos,34.99,290,Eco-friendly boards in three sizes with juice grooves.
76,Air Fryer,Home & Kitchen,Ninja,129.99,175,5.5-quart digital air fryer for healthier fried foods.
77,LED Desk Lamp,Home & Kitchen,Philips,24.99,520,Adjustable lamp with multiple brightness levels and USB charging port.
78,Throw Blanket,Home & Kitchen,Pendleton,49.99,230,Soft wool-blend blanket with classic patterned design.
79,Blender,Home & Kitchen,Vitamix,349.99,55,High-performance blender for smoothies and soups.
80,Storage Organizer Bins,Home & Kitchen,Sterilite,14.99,1100,Set of clear stackable bins for closet and pantry organization.
81,Tennis Racket,Sports,Wilson,129.99,140,Lightweight graphite racket with vibration dampening.
82,Yoga Mat,Sports,Gaiam,24.99,780,Extra thick non-slip mat with alignment lines.
83,Basketball,Sports,Spalding,29.99,450,Official size indoor/outdoor basketball with durable grip.
84,Dumbbell Set,Sports,Bowflex,199.99,70,Adjustable dumbbells ranging from 5 to 52.5 pounds.
85,Soccer Ball,Sports,Adidas,19.99,620,FIFA approved match ball with premium synthetic leather.
86,Camping Tent,Sports,Coleman,89.99,95,4-person waterproof dome tent with easy setup.
87,Cycling Helmet,Sports,Bell,49.99,310,Lightweight helmet with adjustable fit and ventilation.
88,Jump Rope,Sports,Rogue,15.99,890,Speed rope with ball bearings for high-intensity workouts.
89,Golf Club Set,Sports,Callaway,449.99,25,Complete 14-club set with graphite shafts and bag.
90,Resistance Bands Set,Sports,TheraBand,22.99,560,Five bands of varying resistance levels for strength training.
91,The Great Gatsby,Books,Scribner,12.99,720,Classic novel exploring the American Dream in the 1920s.
92,Dune,Books,Ace,18.99,380,Epic science fiction saga set on the desert planet Arrakis.
