product_id,product_name,category,brand,unit_price,stock_qty,description
1,Wireless Noise-Cancelling Headphones,Home & Kitchen,Apple,419.42,783,Premium wireless noise-cancelling headphones with 30-hour battery life and touch controls for seamless music streaming.
2,Organic Cotton Crewneck T-Shirt,Electronics,Samsung,268.79,707,Organic cotton crewneck t-shirt featuring a relaxed fit and breathable fabric for everyday comfort.
3,Stainless Steel Insulated Water Bottle,Sports,Nike,376.16,2007,"Stainless steel insulated travel mug that maintains beverage temperature for up to 12 hours, dishwasher safe."
4,Leather Bifold Wallet,Books,Adidas,492.11,3675,"Leather-bound journal with 200 lined pages and a built-in pen holder, perfect for note-taking and sketching."
5,Non-Slip Yoga Mat,Books,Sony,17.91,3716,"Portable Bluetooth speaker with waterproof design and 360-degree sound, ideal for outdoor adventures."
6,Programmable Coffee Maker,Home & Kitchen,Dell,415.59,2884,Silk pillowcase set that reduces hair frizz and skin irritation while providing luxurious sleep comfort.
7,Breathable Running Shoes,Home & Kitchen,HP,13.66,3117,Stainless steel chef's knife with ergonomic handle and razor-sharp blade for precise cutting in the kitchen.
8,Laptop Sleeve with Zipper,Sports,Canon,131.55,983,Yoga mat made from eco-friendly natural rubber with non-slip texture and carrying strap included.
9,Fitness Smartwatch,Home & Kitchen,Levi's,436.93,2562,"Ceramic coffee mug featuring a hand-painted design, microwave and dishwasher safe for daily use."
10,Vitamin C Face Serum,Home & Kitchen,Zara,333.38,4092,"Denim jeans with stretch fabric and reinforced seams, available in multiple washes for versatile styling."
11,Slim Fit Denim Jeans,Books,IKEA,458.7,576,"Electric kettle with rapid boil technology and auto shut-off feature, 1.7-liter capacity."
12,Portable Power Bank 20000mAh,Clothing,Dyson,241.45,4266,"Scented soy candle in a reusable glass jar, burning time of 40 hours with calming lavender aroma."
13,Professional Kitchen Knife Set,Sports,Bose,85.65,4334,Wireless gaming mouse with customizable RGB lighting and high-precision sensor for competitive play.
14,Over-Ear Bluetooth Headphones,Electronics,L'Oréal,13.72,2928,"Cashmere scarf in a soft neutral tone, lightweight yet warm for transitional weather."
15,Egyptian Cotton Bed Sheet Set,Sports,Maybelline,431.86,3894,"Bamboo cutting board set with juice groove and easy-grip handles, naturally antibacterial."
16,Heart Rate Monitor Fitness Band,Sports,Gucci,265.66,2478,"Fitness tracker watch with heart rate monitoring, sleep tracking, and 7-day battery life."
17,Water-Resistant Hiking Backpack,Clothing,Prada,436.1,2957,Hardcover cookbook with 150 gourmet recipes focusing on seasonal ingredients and healthy cooking.
18,Ceramic Coffee Mug Set,Clothing,Under Armour,75.21,3997,"Leather wallet with RFID protection, multiple card slots, and a slim profile for everyday carry."
19,Broad Spectrum SPF 50 Sunscreen,Sports,Puma,391.88,2529,"Essential oil diffuser with ultrasonic mist and LED mood lighting, includes 10 oil blends."
